
********************
NBkg grid searches
********************

n_bkg epochs  Mean_acc
1   500     20 0,7793750
2  1000     20 0,8440625
3  2000     20 0,7928125
4  3000     20 0,7268750
5  5000     20 0,6356250
6 10000     20 0,5553125
7 15000     20 0,5250000
8 20000     20 0,5043750


  n_bkg epochs  Mean_acc
1   500     20 0,7940625
2   750     20 0,8340625
3  1000     20 0,8443750
4  1500     20 0,8265625
5  2000     20 0,7906250
6  2500     20 0,7771875
7  3000     20 0,7415625



*************************
Batch size and epochs grid searches
*************************

1           1      5 0,8134375
2           5      5 0,8059375
3          10      5 0,7962500
4          15      5 0,8103125
5          20      5 0,7843750
6          50      5 0,7871875
7         100      5 0,7556250
8           1     10 0,7990625
9           5     10 0,7859375
10         10     10 0,7878125
11         15     10 0,8121875
12         20     10 0,7818750
13         50     10 0,7890625
14        100     10 0,8084375
15          1     20 0,8159375
16          5     20 0,7953125
17         10     20 0,7818750
18         15     20 0,7896875
19         20     20 0,8012500
20         50     20 0,7865625
21        100     20 0,7884375
22          1     30 0,8109375
23          5     30 0,7993750
24         10     30 0,7809375
25         15     30 0,7806250
26         20     30 0,7953125
27         50     30 0,7909375
28        100     30 0,7903125
29          1     50 0,8196875
30          5     50 0,7965625
31         10     50 0,8037500
32         15     50 0,7962500
33         20     50 0,7850000
34         50     50 0,7909375
35        100     50 0,7918750



